aircraft_lat,aircraft_long,model_title,model_desc,aircraft_category,aircraft_callsign,mission_date,agency_name,agency_area_code,agency_phone,address_street,address_city,address_state,address_zip
46.6288,-120.574,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL7,2017-04-27,Murazik-Haag,883,468-6406,4799 Chive Way,Seattle,Washington,98121
47.1042,-122.87,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL6,2017-04-14,Mayer-Davis,102,809-5490,1 Hansons Place,Portland,Oregon,97206
47.4441,-122.325,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL10,2017-04-26,Feil-Graham,852,141-0281,5557 Roth Center,Fairbanks,Alaska,99790
47.1042,-122.87,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL6,2017-12-18,Jenkins-Mante,163,631-5779,6166 Kipling Drive,Spokane,Washington,99210
47.6849,-122.297,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL9,2017-04-07,Hudson-Roob,614,319-8819,60 Northwestern Circle,Pocatello,Idaho,83206
45.9783,-108.195,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL3,2018-03-30,Wolff-Prohaska,839,631-6361,4 Vahlen Circle,Spokane,Washington,99220
45.5287,-122.636,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL4,2017-12-21,"Bernhard, Bogisich and Roberts",620,801-6832,9 Hudson Terrace,Spokane,Washington,99260
45.5653,-122.645,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL5,2017-11-27,"Larson, Larson and Stehr",577,840-0654,75252 Mendota Trail,Eugene,Oregon,97405
47.1042,-122.87,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL6,2017-12-12,"Lockman, Ziemann and Botsford",977,074-9446,93855 Vahlen Road,Billings,Montana,59112
45.5287,-122.636,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL4,2018-01-21,"Stanton, Stark and Hodkiewicz",597,081-2408,9 Butternut Park,Portland,Oregon,97232
45.5653,-122.645,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL5,2017-05-11,"Reichert, Legros and Jacobs",516,356-6131,740 Schurz Pass,Portland,Oregon,97211
47.6849,-122.297,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL9,2018-04-17,Wiegand-Corkery,472,400-2123,57 Service Place,Olympia,Washington,98506
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2017-08-17,Mueller-Stoltenberg,963,975-6331,9 Pleasure Drive,Yakima,Washington,98907
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2018-01-18,"Homenick, Mueller and Dach",191,421-0597,4 Farragut Circle,Seattle,Washington,98127
47.6849,-122.297,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL9,2017-06-30,Champlin-Leuschke,629,587-4510,5 Karstens Terrace,Seattle,Washington,98115
45.5287,-122.636,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL4,2017-12-29,"Bartoletti, Moore and Kilback",97,650-3899,4 Jenna Point,Seattle,Washington,98148
47.4441,-122.325,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL10,2017-11-07,Rowe-Abbott,859,344-0186,6508 Duke Plaza,Boise,Idaho,83732
47.6849,-122.297,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL9,2017-07-17,Littel LLC,337,189-3282,935 Dwight Parkway,Anchorage,Alaska,99599
46.6288,-120.574,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL7,2017-10-08,Hane-Feeney,498,367-7336,4965 Debra Park,Portland,Oregon,97229
47.4441,-122.325,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL10,2018-01-23,"McDermott, Thompson and Grant",594,359-9480,76194 Northview Terrace,Everett,Washington,98206
47.1042,-122.87,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL6,2017-07-22,Parisian-Bogan,75,566-1131,903 Merrick Plaza,Salem,Oregon,97312
45.5287,-122.636,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL4,2017-09-03,Franecki LLC,136,757-0838,195 Merchant Point,Anchorage,Alaska,99512
44.0185,-123.1,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL2,2017-11-30,Mohr-Larson,135,655-0550,52588 Northfield Circle,Spokane,Washington,99260
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2017-12-03,"Cremin, Stehr and Altenwerth",167,240-6847,9 Northwestern Pass,Portland,Oregon,97271
47.6536,-117.432,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL1,2017-08-02,Keeling-Bernier,565,173-6549,0067 Melrose Park,Tacoma,Washington,98442
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2018-04-05,"Rutherford, Klein and Quitzon",820,981-4834,8 Calypso Point,Vancouver,Washington,98682
44.0185,-123.1,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL2,2018-02-27,"O'Conner, Cormier and Mayer",682,106-2041,8443 Hoepker Trail,Seattle,Washington,98175
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2017-04-08,Raynor Inc,516,624-1064,17448 Charing Cross Point,Portland,Oregon,97240
45.5287,-122.636,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL4,2018-03-23,Hagenes-Ernser,437,291-8575,66 Cottonwood Park,Tacoma,Washington,98442
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2018-02-28,Carter-Luettgen,430,376-2713,2 Hallows Trail,Spokane,Washington,99260
44.0185,-123.1,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL2,2018-01-09,Hintz Inc,698,197-6411,9579 Longview Place,Everett,Washington,98206
44.0185,-123.1,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL2,2017-09-01,Rippin-Ward,427,537-8264,7834 Twin Pines Junction,Everett,Washington,98206
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2018-01-03,Rolfson-Thompson,108,041-0972,7 David Park,Boise,Idaho,83716
45.9783,-108.195,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL3,2017-09-21,Buckridge Inc,428,245-9684,3874 Brown Park,Billings,Montana,59105
47.6849,-122.297,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL9,2017-04-22,Funk and Sons,985,026-5147,09 Barby Place,Helena,Montana,59623
45.5653,-122.645,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL5,2017-06-13,Lueilwitz-Gutmann,212,074-8790,35573 Haas Pass,Portland,Oregon,97271
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2017-10-04,Hirthe Group,371,150-1010,67941 Mifflin Park,Portland,Oregon,97206
45.9783,-108.195,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL3,2018-04-18,Kautzer-Grant,562,506-2999,88 Oxford Pass,Seattle,Washington,98121
46.6288,-120.574,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL7,2018-01-12,Klein Inc,308,217-8472,97920 Dottie Terrace,Spokane,Washington,99205
47.6849,-122.297,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL9,2018-01-14,Dietrich Group,846,809-4559,146 Village Parkway,Olympia,Washington,98506
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2018-02-15,Graham-Schuppe,579,812-5679,44670 Helena Alley,Vancouver,Washington,98682
44.0185,-123.1,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL2,2017-11-14,Ward-Ullrich,868,372-2920,6482 Ridgeway Pass,Tacoma,Washington,98481
47.4441,-122.325,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL10,2018-03-03,Cummings-Baumbach,299,788-6082,914 Cardinal Lane,Portland,Oregon,97271
46.6288,-120.574,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL7,2017-07-13,"Abshire, Kunde and Grant",122,414-1321,4 Welch Terrace,Helena,Montana,59623
47.4441,-122.325,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL10,2017-09-01,Bradtke-Roob,144,211-4936,8177 Corry Road,Portland,Oregon,97232
47.1042,-122.87,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL6,2017-06-09,"Kris, Volkman and Ortiz",252,925-5568,6080 Bultman Pass,Portland,Oregon,97271
45.5653,-122.645,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL5,2017-05-23,"Mills, Spencer and Funk",218,336-9917,54 Meadow Valley Road,Pocatello,Idaho,83206
45.5653,-122.645,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL5,2017-08-09,Koss-Roob,826,374-2311,2 Lerdahl Center,Lakewood,Washington,98498
47.6536,-117.432,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL1,2017-07-15,Bergnaum Inc,911,558-2763,1 Fordem Parkway,Boise,Idaho,83716
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2018-01-02,Murazik-Haag,883,468-6406,4799 Chive Way,Seattle,Washington,98121
45.9783,-108.195,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL3,2018-04-17,Mayer-Davis,102,809-5490,1 Hansons Place,Portland,Oregon,97206
46.6288,-120.574,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL7,2017-11-08,Feil-Graham,852,141-0281,5557 Roth Center,Fairbanks,Alaska,99790
44.0185,-123.1,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL2,2017-09-10,Jenkins-Mante,163,631-5779,6166 Kipling Drive,Spokane,Washington,99210
45.5653,-122.645,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL5,2017-11-27,Hudson-Roob,614,319-8819,60 Northwestern Circle,Pocatello,Idaho,83206
45.5653,-122.645,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL5,2017-09-05,Wolff-Prohaska,839,631-6361,4 Vahlen Circle,Spokane,Washington,99220
44.0185,-123.1,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL2,2018-03-28,"Bernhard, Bogisich and Roberts",620,801-6832,9 Hudson Terrace,Spokane,Washington,99260
45.5653,-122.645,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL5,2017-06-23,"Larson, Larson and Stehr",577,840-0654,75252 Mendota Trail,Eugene,Oregon,97405
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2017-05-07,"Lockman, Ziemann and Botsford",977,074-9446,93855 Vahlen Road,Billings,Montana,59112
47.6536,-117.432,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL1,2017-10-27,"Stanton, Stark and Hodkiewicz",597,081-2408,9 Butternut Park,Portland,Oregon,97232
45.5287,-122.636,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL4,2017-06-02,"Reichert, Legros and Jacobs",516,356-6131,740 Schurz Pass,Portland,Oregon,97211
44.0185,-123.1,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL2,2018-03-25,Wiegand-Corkery,472,400-2123,57 Service Place,Olympia,Washington,98506
47.1042,-122.87,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL6,2017-11-06,Mueller-Stoltenberg,963,975-6331,9 Pleasure Drive,Yakima,Washington,98907
45.5287,-122.636,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL4,2017-06-16,"Homenick, Mueller and Dach",191,421-0597,4 Farragut Circle,Seattle,Washington,98127
45.5653,-122.645,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL5,2017-04-11,Champlin-Leuschke,629,587-4510,5 Karstens Terrace,Seattle,Washington,98115
47.4441,-122.325,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL10,2017-12-15,"Bartoletti, Moore and Kilback",97,650-3899,4 Jenna Point,Seattle,Washington,98148
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2017-10-23,Rowe-Abbott,859,344-0186,6508 Duke Plaza,Boise,Idaho,83732
47.1042,-122.87,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL6,2017-09-08,Littel LLC,337,189-3282,935 Dwight Parkway,Anchorage,Alaska,99599
47.6849,-122.297,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL9,2017-12-04,Hane-Feeney,498,367-7336,4965 Debra Park,Portland,Oregon,97229
47.6849,-122.297,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL9,2018-03-25,"McDermott, Thompson and Grant",594,359-9480,76194 Northview Terrace,Everett,Washington,98206
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2017-04-12,Parisian-Bogan,75,566-1131,903 Merrick Plaza,Salem,Oregon,97312
47.6849,-122.297,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL9,2018-03-06,Franecki LLC,136,757-0838,195 Merchant Point,Anchorage,Alaska,99512
45.5653,-122.645,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL5,2017-07-18,Mohr-Larson,135,655-0550,52588 Northfield Circle,Spokane,Washington,99260
45.5287,-122.636,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL4,2017-08-04,"Cremin, Stehr and Altenwerth",167,240-6847,9 Northwestern Pass,Portland,Oregon,97271
47.4441,-122.325,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL10,2017-07-01,Keeling-Bernier,565,173-6549,0067 Melrose Park,Tacoma,Washington,98442
47.4441,-122.325,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL10,2017-04-24,"Rutherford, Klein and Quitzon",820,981-4834,8 Calypso Point,Vancouver,Washington,98682
46.6288,-120.574,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL7,2017-05-15,"O'Conner, Cormier and Mayer",682,106-2041,8443 Hoepker Trail,Seattle,Washington,98175
45.5653,-122.645,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL5,2017-06-30,Raynor Inc,516,624-1064,17448 Charing Cross Point,Portland,Oregon,97240
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2018-01-04,Hagenes-Ernser,437,291-8575,66 Cottonwood Park,Tacoma,Washington,98442
45.5287,-122.636,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL4,2018-04-03,Carter-Luettgen,430,376-2713,2 Hallows Trail,Spokane,Washington,99260
47.6849,-122.297,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL9,2017-09-19,Hintz Inc,698,197-6411,9579 Longview Place,Everett,Washington,98206
44.0185,-123.1,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL2,2018-01-07,Rippin-Ward,427,537-8264,7834 Twin Pines Junction,Everett,Washington,98206
46.6288,-120.574,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL7,2017-06-17,Rolfson-Thompson,108,041-0972,7 David Park,Boise,Idaho,83716
45.5287,-122.636,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL4,2017-04-22,Buckridge Inc,428,245-9684,3874 Brown Park,Billings,Montana,59105
45.9783,-108.195,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL3,2017-09-21,Funk and Sons,985,026-5147,09 Barby Place,Helena,Montana,59623
47.6849,-122.297,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL9,2017-07-15,Lueilwitz-Gutmann,212,074-8790,35573 Haas Pass,Portland,Oregon,97271
45.5287,-122.636,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL4,2017-08-15,Hirthe Group,371,150-1010,67941 Mifflin Park,Portland,Oregon,97206
47.6849,-122.297,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL9,2017-06-29,Kautzer-Grant,562,506-2999,88 Oxford Pass,Seattle,Washington,98121
47.6536,-117.432,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL1,2017-04-30,Klein Inc,308,217-8472,97920 Dottie Terrace,Spokane,Washington,99205
47.1042,-122.87,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL6,2017-06-14,Dietrich Group,846,809-4559,146 Village Parkway,Olympia,Washington,98506
44.0185,-123.1,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL2,2017-09-11,Graham-Schuppe,579,812-5679,44670 Helena Alley,Vancouver,Washington,98682
46.6288,-120.574,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL7,2018-02-20,Ward-Ullrich,868,372-2920,6482 Ridgeway Pass,Tacoma,Washington,98481
44.0185,-123.1,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL2,2017-06-24,Cummings-Baumbach,299,788-6082,914 Cardinal Lane,Portland,Oregon,97271
47.6536,-117.432,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL1,2017-11-30,"Abshire, Kunde and Grant",122,414-1321,4 Welch Terrace,Helena,Montana,59623
45.9783,-108.195,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL3,2017-07-11,Bradtke-Roob,144,211-4936,8177 Corry Road,Portland,Oregon,97232
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2018-01-26,"Kris, Volkman and Ortiz",252,925-5568,6080 Bultman Pass,Portland,Oregon,97271
47.6849,-122.297,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL9,2018-03-09,"Mills, Spencer and Funk",218,336-9917,54 Meadow Valley Road,Pocatello,Idaho,83206
45.9783,-108.195,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL3,2018-04-07,Koss-Roob,826,374-2311,2 Lerdahl Center,Lakewood,Washington,98498
45.5287,-122.636,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL4,2017-06-09,Bergnaum Inc,911,558-2763,1 Fordem Parkway,Boise,Idaho,83716
47.4441,-122.325,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL10,2017-09-23,Murazik-Haag,883,468-6406,4799 Chive Way,Seattle,Washington,98121
44.0185,-123.1,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL2,2017-09-09,Mayer-Davis,102,809-5490,1 Hansons Place,Portland,Oregon,97206
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2017-06-21,Feil-Graham,852,141-0281,5557 Roth Center,Fairbanks,Alaska,99790
47.6849,-122.297,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL9,2017-08-19,Jenkins-Mante,163,631-5779,6166 Kipling Drive,Spokane,Washington,99210
47.1042,-122.87,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL6,2017-06-08,Hudson-Roob,614,319-8819,60 Northwestern Circle,Pocatello,Idaho,83206
46.6288,-120.574,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL7,2017-06-15,Wolff-Prohaska,839,631-6361,4 Vahlen Circle,Spokane,Washington,99220
47.4441,-122.325,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL10,2017-08-21,"Bernhard, Bogisich and Roberts",620,801-6832,9 Hudson Terrace,Spokane,Washington,99260
47.4441,-122.325,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL10,2018-02-10,"Larson, Larson and Stehr",577,840-0654,75252 Mendota Trail,Eugene,Oregon,97405
47.4441,-122.325,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL10,2018-03-09,"Lockman, Ziemann and Botsford",977,074-9446,93855 Vahlen Road,Billings,Montana,59112
44.0185,-123.1,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL2,2017-09-14,"Stanton, Stark and Hodkiewicz",597,081-2408,9 Butternut Park,Portland,Oregon,97232
47.4441,-122.325,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL10,2017-10-26,"Reichert, Legros and Jacobs",516,356-6131,740 Schurz Pass,Portland,Oregon,97211
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2017-10-23,Wiegand-Corkery,472,400-2123,57 Service Place,Olympia,Washington,98506
44.0185,-123.1,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL2,2017-11-23,Mueller-Stoltenberg,963,975-6331,9 Pleasure Drive,Yakima,Washington,98907
46.6288,-120.574,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL7,2017-06-20,"Homenick, Mueller and Dach",191,421-0597,4 Farragut Circle,Seattle,Washington,98127
47.1042,-122.87,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL6,2017-07-13,Champlin-Leuschke,629,587-4510,5 Karstens Terrace,Seattle,Washington,98115
47.6849,-122.297,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL9,2017-11-17,"Bartoletti, Moore and Kilback",97,650-3899,4 Jenna Point,Seattle,Washington,98148
45.5653,-122.645,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL5,2018-01-11,Rowe-Abbott,859,344-0186,6508 Duke Plaza,Boise,Idaho,83732
46.6288,-120.574,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL7,2017-04-28,Littel LLC,337,189-3282,935 Dwight Parkway,Anchorage,Alaska,99599
47.1042,-122.87,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL6,2017-07-02,Hane-Feeney,498,367-7336,4965 Debra Park,Portland,Oregon,97229
44.0185,-123.1,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL2,2018-02-23,"McDermott, Thompson and Grant",594,359-9480,76194 Northview Terrace,Everett,Washington,98206
45.5287,-122.636,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL4,2017-08-18,Parisian-Bogan,75,566-1131,903 Merrick Plaza,Salem,Oregon,97312
45.5287,-122.636,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL4,2018-01-16,Franecki LLC,136,757-0838,195 Merchant Point,Anchorage,Alaska,99512
47.4441,-122.325,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL10,2017-08-07,Mohr-Larson,135,655-0550,52588 Northfield Circle,Spokane,Washington,99260
47.6536,-117.432,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL1,2018-02-18,"Cremin, Stehr and Altenwerth",167,240-6847,9 Northwestern Pass,Portland,Oregon,97271
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2018-02-15,Keeling-Bernier,565,173-6549,0067 Melrose Park,Tacoma,Washington,98442
45.5653,-122.645,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL5,2017-10-27,"Rutherford, Klein and Quitzon",820,981-4834,8 Calypso Point,Vancouver,Washington,98682
44.0185,-123.1,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL2,2017-06-23,"O'Conner, Cormier and Mayer",682,106-2041,8443 Hoepker Trail,Seattle,Washington,98175
47.6849,-122.297,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL9,2018-03-06,Raynor Inc,516,624-1064,17448 Charing Cross Point,Portland,Oregon,97240
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2017-11-22,Hagenes-Ernser,437,291-8575,66 Cottonwood Park,Tacoma,Washington,98442
45.5287,-122.636,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL4,2018-03-30,Carter-Luettgen,430,376-2713,2 Hallows Trail,Spokane,Washington,99260
44.0185,-123.1,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL2,2017-04-21,Hintz Inc,698,197-6411,9579 Longview Place,Everett,Washington,98206
47.6849,-122.297,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL9,2018-02-15,Rippin-Ward,427,537-8264,7834 Twin Pines Junction,Everett,Washington,98206
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2018-03-07,Rolfson-Thompson,108,041-0972,7 David Park,Boise,Idaho,83716
46.6288,-120.574,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL7,2018-01-08,Buckridge Inc,428,245-9684,3874 Brown Park,Billings,Montana,59105
46.6288,-120.574,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL7,2017-05-24,Funk and Sons,985,026-5147,09 Barby Place,Helena,Montana,59623
45.9783,-108.195,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL3,2018-01-28,Lueilwitz-Gutmann,212,074-8790,35573 Haas Pass,Portland,Oregon,97271
44.0185,-123.1,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL2,2017-05-10,Hirthe Group,371,150-1010,67941 Mifflin Park,Portland,Oregon,97206
47.1042,-122.87,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL6,2017-09-28,Kautzer-Grant,562,506-2999,88 Oxford Pass,Seattle,Washington,98121
46.6288,-120.574,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL7,2017-12-12,Klein Inc,308,217-8472,97920 Dottie Terrace,Spokane,Washington,99205
47.6849,-122.297,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL9,2017-11-22,Dietrich Group,846,809-4559,146 Village Parkway,Olympia,Washington,98506
47.6536,-117.432,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL1,2017-07-28,Graham-Schuppe,579,812-5679,44670 Helena Alley,Vancouver,Washington,98682
47.6849,-122.297,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL9,2017-05-02,Ward-Ullrich,868,372-2920,6482 Ridgeway Pass,Tacoma,Washington,98481
44.0185,-123.1,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL2,2018-03-22,Cummings-Baumbach,299,788-6082,914 Cardinal Lane,Portland,Oregon,97271
44.0185,-123.1,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL2,2018-03-03,"Abshire, Kunde and Grant",122,414-1321,4 Welch Terrace,Helena,Montana,59623
47.6536,-117.432,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL1,2017-10-09,Bradtke-Roob,144,211-4936,8177 Corry Road,Portland,Oregon,97232
47.6849,-122.297,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL9,2017-09-23,"Kris, Volkman and Ortiz",252,925-5568,6080 Bultman Pass,Portland,Oregon,97271
45.5653,-122.645,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL5,2017-11-27,"Mills, Spencer and Funk",218,336-9917,54 Meadow Valley Road,Pocatello,Idaho,83206
